run_id,variant_id,training_seed,evaluation_seed,environment_id,length_steps,termination_reason,robust_success,action_saturation_fraction,action_sign_changes_per_second,action_total_variation,cart_position_rms,longest_upright_seconds,max_abs_cart_position,mean_abs_action_delta,mean_abs_cart_velocity,mean_abs_normalized_action,mean_abs_requested_effort,pole_angle_rms_radians,pole_angular_velocity_rms,upright_fraction_12deg
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,42,101,8,1800,time_limit,True,0.0,0.0,0.6565122008323669,1.7371583646944162,29.983333333333334,1.7759286165237427,0.00036493174031815837,0.026528515285915797,0.005275039143032498,0.26374925401475696,0.01858616350914978,0.062378077796118196,0.9994444444444445
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,42,101,9,1800,time_limit,True,0.0,0.03333333333333333,0.7552099823951721,1.6719674007435987,29.983333333333334,1.7759287357330322,0.0004197943203975387,0.053465877109103735,0.011406969494289822,0.5703243001302083,0.02364445899408812,0.040016372164598885,0.9994444444444445
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,42,101,10,1800,time_limit,True,0.0005555555555555556,0.03333333333333333,1.814524531364441,1.641093352461418,29.983333333333334,1.7759286165237427,0.001008629533832374,0.07658982170952691,0.016347372266981335,0.8173463948567709,0.024256820562874933,0.10561989836501896,0.9994444444444445
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,42,101,11,1800,time_limit,True,0.0,0.03333333333333333,0.36541298031806946,1.6328774575064224,29.983333333333334,1.7759286165237427,0.0002031200557632404,0.07972903781467014,0.0160639582739936,0.8031762017144097,0.01923900329646277,0.024832268813698113,0.9994444444444445
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,42,101,12,1800,time_limit,True,0.005,0.03333333333333333,2.663416862487793,1.714289113197792,29.4,1.7759286165237427,0.001480498533900941,0.07052330017089843,0.015841750038994684,0.7920598008897569,0.05166524546729744,0.3240196897701187,0.9838888888888889
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,42,101,13,1800,time_limit,True,0.002777777777777778,0.03333333333333333,3.6613335609436035,1.6120719716149978,29.333333333333332,1.7759287357330322,0.002035204869896389,0.12557115342881944,0.027617647382948134,1.3808958604600694,0.04818976432998615,0.3349608425959535,0.9816666666666667
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,42,101,14,1800,time_limit,True,0.0033333333333333335,0.0,1.9477747678756714,1.6865461553209202,29.833333333333332,1.7759284973144531,0.0010826985924823076,0.07454331292046441,0.015440178977118598,0.77198486328125,0.0393320321471301,0.27084608781565916,0.9944444444444445
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,42,101,15,1800,time_limit,True,0.0,0.03333333333333333,1.2524943351745605,1.6369634239353315,29.65,1.7759287357330322,0.0006962169734155422,0.07792560153537327,0.01652657402886285,0.8263065592447917,0.030672511443905873,0.06306165943860485,0.9894444444444445
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,42,101,16,1800,time_limit,True,0.0033333333333333335,0.03333333333333333,4.318851947784424,1.6078056668951008,29.283333333333335,1.7759287357330322,0.002400695913165327,0.1505260721842448,0.033412178887261286,1.670624050564236,0.05864323087962986,0.39682042238054305,0.9788888888888889
phase2_cartpole_controlled_ablation__A_E50__seed42,A_E50,42,101,17,1800,time_limit,True,0.0,0.03333333333333333,0.9571470022201538,1.62360934752423,29.983333333333334,1.7759287357330322,0.0005320439145192628,0.08691455417209201,0.018227091895209418,0.9113353814019097,0.026334318544975057,0.05110657904522135,0.9994444444444445
